,Brand,Processor,RAM (GB),Storage Type,Storage Size,GPU,Screen Size (inch),Resolution,Battery Life (hours),Weight (kg),Operating System,Price ($),Price Category
2239,Asus,Intel i7,16,SSD,256.0,AMD Radeon RX 6800,15.6,3840x2160,6.6,1.2,macOS,2630.52,High-End
2240,MSI,AMD Ryzen 3,16,SSD,2048.0,AMD Radeon RX 6800,14.0,1920x1080,7.7,2.91,macOS,1325.13,Mid-End
2241,Acer,Intel i7,32,SSD,2048.0,AMD Radeon RX 6600,13.3,2560x1440,9.0,1.71,Linux,2581.42,High-End
2242,Microsoft,AMD Ryzen 5,16,SSD,512.0,AMD Radeon RX 6600,15.6,3840x2160,6.5,2.25,macOS,2114.1,High-End
2243,Asus,Intel i5,4,SSD,256.0,Nvidia GTX 1650,17.3,1920x1080,5.0,2.88,FreeDOS,1005.4,Mid-End
2244,Razer,AMD Ryzen 5,64,SSD,2048.0,Nvidia RTX 2060,14.0,1366x768,7.7,3.35,macOS,2886.71,High-End
2245,Lenovo,Intel i9,16,SSD,512.0,Integrated,15.6,2560x1440,5.2,2.93,Linux,1839.5,High-End
2246,HP,Intel i7,8,SSD,512.0,Nvidia RTX 3080,16.0,2560x1440,4.6,3.1,FreeDOS,1600.97,High-End
2247,Acer,AMD Ryzen 9,64,HDD,1024.0,Nvidia RTX 2060,14.0,1920x1080,11.1,3.39,Windows,3264.95,Luxury
2248,Dell,AMD Ryzen 7,16,SSD,1024.0,AMD Radeon RX 6800,13.3,2560x1440,5.1,1.64,macOS,2006.07,High-End
2249,Acer,Intel i9,8,SSD,1024.0,Nvidia GTX 1650,15.6,1366x768,8.3,1.94,Windows,1666.22,High-End
2250,Samsung,AMD Ryzen 5,32,SSD,1024.0,AMD Radeon RX 6600,14.0,2560x1440,5.8,2.25,Windows,1928.38,High-End
2251,Lenovo,Intel i9,4,HDD,1024.0,Nvidia RTX 3080,16.0,3840x2160,7.3,1.59,Windows,2178.97,High-End
2252,Dell,Intel i7,64,SSD,512.0,Nvidia RTX 2060,17.3,1920x1080,10.4,1.2,macOS,3380.89,Luxury
2253,Acer,Intel i3,4,SSD,1024.0,AMD Radeon RX 6800,13.3,1366x768,7.4,2.7,FreeDOS,651.05,Low-End
2254,Acer,Intel i5,32,SSD,1024.0,Integrated,17.3,2560x1440,10.0,1.23,FreeDOS,1547.43,High-End
2255,MSI,Intel i3,4,HDD,1024.0,Integrated,15.6,1920x1080,7.4,3.1,Linux,657.66,Low-End
2256,Samsung,AMD Ryzen 7,32,HDD,1024.0,Nvidia GTX 1650,17.3,1366x768,9.2,2.87,Windows,1572.05,High-End
2257,MSI,AMD Ryzen 5,4,SSD,256.0,Nvidia RTX 3060,16.0,1920x1080,5.5,1.83,macOS,1350.79,Mid-End
2258,Acer,Intel i3,16,SSD,2048.0,AMD Radeon RX 6800,15.6,1920x1080,5.5,2.91,macOS,1238.07,Mid-End
2259,Razer,AMD Ryzen 3,64,HDD,1024.0,Nvidia RTX 3060,17.3,1366x768,11.3,2.84,FreeDOS,2033.16,High-End
2260,Samsung,Intel i7,4,SSD,512.0,Nvidia RTX 3080,13.3,1366x768,9.3,1.21,FreeDOS,931.42,Mid-End
2261,Acer,AMD Ryzen 3,8,HDD,1024.0,AMD Radeon RX 6800,17.3,2560x1440,6.1,1.51,Windows,1009.14,Mid-End
2262,Razer,AMD Ryzen 9,16,SSD,256.0,Nvidia GTX 1650,17.3,1366x768,9.7,1.22,Windows,2616.14,High-End
2263,MSI,AMD Ryzen 3,8,HDD,1024.0,AMD Radeon RX 6800,15.6,1366x768,8.9,1.88,macOS,927.62,Mid-End
2264,Apple,AMD Ryzen 5,64,SSD,256.0,AMD Radeon RX 6600,15.6,3840x2160,5.7,3.47,Linux,6542.83,Luxury
2265,Razer,AMD Ryzen 5,32,HDD,1024.0,Nvidia RTX 3060,16.0,1366x768,8.0,2.02,Linux,1736.13,High-End
2266,Apple,Intel i7,8,SSD,256.0,Nvidia RTX 3060,13.3,1366x768,10.1,2.97,FreeDOS,1570.6,High-End
2267,Samsung,Intel i5,8,SSD,2048.0,AMD Radeon RX 6600,13.3,1920x1080,4.3,2.64,FreeDOS,1001.22,Mid-End
2268,Dell,Intel i5,4,SSD,256.0,Nvidia GTX 1650,16.0,1920x1080,9.1,2.22,FreeDOS,1061.11,Mid-End
2269,Lenovo,Intel i7,64,HDD,1024.0,Integrated,15.6,1920x1080,7.4,3.32,macOS,1955.63,High-End
2270,Asus,Intel i7,64,SSD,256.0,AMD Radeon RX 6800,14.0,1366x768,8.7,2.54,FreeDOS,2593.13,High-End
2271,Lenovo,Intel i7,4,SSD,256.0,Nvidia RTX 2060,15.6,1920x1080,7.5,2.47,macOS,1124.2,Mid-End
2272,HP,Intel i3,4,HDD,1024.0,Nvidia RTX 2060,14.0,1920x1080,6.3,2.93,Linux,745.48,Low-End
2273,HP,Intel i3,4,SSD,512.0,Nvidia GTX 1650,17.3,2560x1440,11.3,2.56,FreeDOS,946.85,Mid-End
2274,MSI,Intel i3,64,SSD,1024.0,Integrated,13.3,1920x1080,6.8,1.54,FreeDOS,1733.84,High-End
2275,Lenovo,Intel i3,64,SSD,1024.0,Integrated,14.0,1920x1080,4.6,2.2,FreeDOS,1313.41,Mid-End
2276,Microsoft,AMD Ryzen 9,4,SSD,1024.0,Nvidia RTX 2060,14.0,1366x768,5.2,1.36,Windows,1362.71,Mid-End
2277,MSI,Intel i7,8,SSD,2048.0,Integrated,16.0,3840x2160,4.9,1.62,Windows,2043.49,High-End
2278,Microsoft,AMD Ryzen 5,32,SSD,1024.0,AMD Radeon RX 6600,16.0,1920x1080,5.9,3.04,Linux,1760.11,High-End
2279,Acer,Intel i9,16,SSD,256.0,Nvidia RTX 2060,14.0,3840x2160,5.8,1.38,macOS,3333.79,Luxury
2280,Acer,AMD Ryzen 5,16,HDD,1024.0,Nvidia RTX 2060,17.3,2560x1440,6.5,1.64,Linux,1255.36,Mid-End
2281,Asus,Intel i7,4,SSD,1024.0,Integrated,17.3,2560x1440,8.7,2.97,FreeDOS,1160.45,Mid-End
2282,Lenovo,AMD Ryzen 7,64,HDD,1024.0,AMD Radeon RX 6600,16.0,1920x1080,11.3,3.34,Windows,2632.8,High-End
2283,Dell,Intel i5,4,SSD,2048.0,AMD Radeon RX 6600,13.3,3840x2160,7.5,2.48,Windows,1372.7,Mid-End
2284,Lenovo,Intel i7,4,SSD,512.0,Nvidia RTX 2060,14.0,2560x1440,12.0,1.28,FreeDOS,1285.8,Mid-End
2285,Acer,Intel i7,32,HDD,1024.0,Integrated,13.3,2560x1440,10.0,1.73,FreeDOS,1429.4,Mid-End
2286,Lenovo,Intel i3,32,SSD,2048.0,AMD Radeon RX 6800,16.0,3840x2160,10.0,3.09,macOS,2324.26,High-End
2287,Samsung,AMD Ryzen 7,4,SSD,1024.0,AMD Radeon RX 6600,16.0,1920x1080,4.1,2.37,macOS,1186.32,Mid-End
2288,Dell,Intel i9,32,SSD,1024.0,Integrated,17.3,1920x1080,4.4,2.76,Linux,1913.16,High-End
2289,Apple,Intel i3,16,SSD,1024.0,Nvidia RTX 3080,15.6,2560x1440,9.0,1.9,Linux,2059.67,High-End
2290,Acer,Intel i3,4,HDD,1024.0,Nvidia GTX 1650,17.3,1366x768,6.9,2.72,Linux,590.52,Low-End
2291,Acer,AMD Ryzen 7,32,SSD,512.0,Nvidia RTX 3060,13.3,1920x1080,10.0,1.95,Linux,1935.01,High-End
2292,Dell,AMD Ryzen 7,4,SSD,2048.0,Nvidia RTX 2060,16.0,1366x768,11.9,3.41,Linux,923.15,Mid-End
2293,MSI,Intel i7,16,SSD,1024.0,Nvidia RTX 2060,15.6,2560x1440,11.3,1.21,Windows,2608.98,High-End
2294,HP,AMD Ryzen 9,4,SSD,1024.0,Nvidia RTX 3060,14.0,1366x768,6.7,1.34,Windows,1215.97,Mid-End
2295,Asus,AMD Ryzen 7,8,SSD,1024.0,AMD Radeon RX 6600,13.3,1366x768,6.2,2.45,macOS,963.99,Mid-End
2296,HP,AMD Ryzen 3,4,SSD,2048.0,Nvidia GTX 1650,13.3,1366x768,7.9,3.35,Windows,634.09,Low-End
2297,Microsoft,AMD Ryzen 9,32,SSD,2048.0,Nvidia RTX 3060,14.0,1366x768,10.0,2.07,Linux,2321.07,High-End
2298,Asus,Intel i9,8,SSD,1024.0,Integrated,13.3,3840x2160,5.4,3.05,FreeDOS,1747.36,High-End
2299,Dell,Intel i3,8,SSD,1024.0,Nvidia RTX 3060,16.0,3840x2160,4.9,2.22,macOS,1477.42,Mid-End
2300,Microsoft,AMD Ryzen 9,16,SSD,512.0,Nvidia RTX 3080,14.0,1366x768,6.0,1.2,Linux,1790.81,High-End
2301,HP,Intel i9,8,SSD,512.0,Nvidia RTX 2060,14.0,1366x768,5.9,2.29,FreeDOS,1514.93,High-End
2302,MSI,Intel i5,16,SSD,2048.0,Nvidia RTX 3080,15.6,1366x768,5.9,2.7,Linux,1291.1,Mid-End
2303,MSI,AMD Ryzen 5,16,SSD,1024.0,AMD Radeon RX 6600,16.0,2560x1440,8.6,3.16,FreeDOS,2005.94,High-End
2304,Apple,AMD Ryzen 9,32,SSD,2048.0,Nvidia RTX 3080,16.0,3840x2160,9.6,2.7,Linux,7207.3,Luxury
2305,Acer,Intel i5,8,SSD,1024.0,Nvidia RTX 3080,13.3,2560x1440,10.8,2.99,Windows,1373.26,Mid-End
2306,Lenovo,Intel i7,8,SSD,1024.0,Nvidia RTX 3080,16.0,1366x768,4.6,2.98,Windows,1202.68,Mid-End
2307,MSI,Intel i7,8,SSD,512.0,Nvidia RTX 3060,17.3,1366x768,8.0,1.51,FreeDOS,1546.58,High-End
2308,HP,Intel i9,64,SSD,512.0,Nvidia RTX 3060,14.0,1920x1080,10.0,3.44,Windows,3822.53,Luxury
2309,Apple,AMD Ryzen 7,8,HDD,1024.0,Integrated,16.0,1920x1080,4.0,1.88,Windows,1293.35,Mid-End
2310,Razer,Intel i5,32,SSD,1024.0,Nvidia RTX 2060,13.3,2560x1440,4.1,1.22,FreeDOS,2902.58,High-End
2311,MSI,Intel i3,8,SSD,256.0,Nvidia RTX 2060,17.3,1920x1080,5.6,2.84,macOS,1262.14,Mid-End
2312,Apple,AMD Ryzen 3,64,SSD,2048.0,Nvidia RTX 3060,14.0,3840x2160,6.0,1.54,FreeDOS,4775.48,Luxury
2313,Microsoft,AMD Ryzen 9,16,SSD,1024.0,Nvidia RTX 2060,16.0,2560x1440,7.7,3.14,macOS,2809.72,High-End
2314,Acer,Intel i5,4,SSD,2048.0,Nvidia RTX 3080,15.6,1366x768,9.6,1.38,Windows,919.77,Mid-End
2315,Samsung,Intel i3,4,SSD,2048.0,Integrated,16.0,1920x1080,4.2,2.09,Linux,665.23,Low-End
2316,Lenovo,AMD Ryzen 9,16,SSD,256.0,Nvidia GTX 1650,16.0,1366x768,8.5,2.73,Windows,1682.53,High-End
2317,Razer,Intel i7,32,SSD,2048.0,AMD Radeon RX 6600,15.6,1366x768,5.6,2.06,Windows,2404.1,High-End
2318,Samsung,Intel i7,8,SSD,2048.0,Nvidia RTX 2060,14.0,2560x1440,8.1,1.26,FreeDOS,1592.22,High-End
2319,Apple,AMD Ryzen 3,4,HDD,1024.0,AMD Radeon RX 6800,13.3,2560x1440,6.3,1.94,FreeDOS,1090.6,Mid-End
2320,MSI,Intel i3,16,HDD,1024.0,Nvidia RTX 3060,14.0,3840x2160,9.6,2.4,Linux,1848.65,High-End
2321,Asus,AMD Ryzen 7,32,HDD,1024.0,Nvidia RTX 2060,17.3,2560x1440,5.9,2.8,macOS,2147.29,High-End
2322,MSI,Intel i5,16,HDD,1024.0,Nvidia RTX 3080,14.0,3840x2160,4.3,1.27,Linux,2128.07,High-End
2323,MSI,Intel i5,8,SSD,1024.0,AMD Radeon RX 6800,13.3,2560x1440,7.7,2.08,Linux,1730.45,High-End
2324,MSI,Intel i3,32,SSD,512.0,Nvidia RTX 2060,16.0,1366x768,7.6,3.19,Linux,1719.3,High-End
2325,Acer,AMD Ryzen 7,4,SSD,2048.0,AMD Radeon RX 6800,13.3,2560x1440,7.0,2.04,FreeDOS,1456.42,Mid-End
2326,Microsoft,AMD Ryzen 9,8,HDD,1024.0,Nvidia RTX 3080,13.3,1920x1080,9.1,1.41,FreeDOS,1367.8,Mid-End
2327,Acer,AMD Ryzen 3,16,SSD,1024.0,Nvidia RTX 3080,16.0,1920x1080,7.9,1.54,FreeDOS,1034.85,Mid-End
2328,Apple,Intel i5,16,SSD,2048.0,Nvidia RTX 2060,13.3,3840x2160,8.7,3.33,FreeDOS,2880.18,High-End
2329,Apple,Intel i3,16,SSD,256.0,AMD Radeon RX 6600,13.3,2560x1440,9.6,2.01,Linux,1863.97,High-End
2330,Asus,Intel i5,64,HDD,1024.0,Nvidia RTX 3060,16.0,1366x768,11.6,2.46,macOS,1691.41,High-End
2331,Dell,Intel i7,8,SSD,1024.0,Nvidia RTX 3080,13.3,1366x768,9.3,1.34,Linux,1190.38,Mid-End
2332,Acer,AMD Ryzen 3,4,SSD,1024.0,Nvidia RTX 2060,15.6,3840x2160,6.8,2.19,Linux,1253.82,Mid-End
2333,Microsoft,Intel i3,64,HDD,1024.0,Nvidia RTX 3060,16.0,3840x2160,5.8,2.77,macOS,3145.68,Luxury
2334,Samsung,AMD Ryzen 5,4,HDD,1024.0,Nvidia RTX 3060,16.0,1366x768,4.8,3.04,Linux,589.91,Low-End
2335,Samsung,Intel i7,16,SSD,512.0,Nvidia GTX 1650,13.3,2560x1440,11.1,3.4,Linux,1737.98,High-End
2336,Lenovo,Intel i7,32,SSD,256.0,Nvidia RTX 2060,13.3,2560x1440,10.0,1.54,FreeDOS,2424.64,High-End
2337,Apple,AMD Ryzen 3,4,SSD,2048.0,Nvidia GTX 1650,17.3,2560x1440,9.0,3.42,Windows,1449.63,Mid-End
2338,HP,Intel i7,4,SSD,256.0,Integrated,13.3,3840x2160,6.1,2.01,Windows,1278.89,Mid-End
2339,Asus,Intel i3,32,SSD,2048.0,Nvidia GTX 1650,15.6,1366x768,10.2,1.6,FreeDOS,1121.49,Mid-End
2340,Razer,Intel i3,4,SSD,1024.0,Nvidia GTX 1650,13.3,1920x1080,6.4,3.44,FreeDOS,1177.7,Mid-End
2341,Acer,Intel i9,32,SSD,2048.0,Nvidia RTX 3060,14.0,3840x2160,7.9,2.61,FreeDOS,4494.31,Luxury
2342,Acer,AMD Ryzen 9,8,SSD,2048.0,Nvidia RTX 2060,15.6,1920x1080,6.1,2.94,Linux,1885.48,High-End
2343,HP,Intel i5,64,HDD,1024.0,AMD Radeon RX 6800,15.6,2560x1440,6.0,2.25,Windows,2768.58,High-End
2344,HP,AMD Ryzen 7,8,SSD,256.0,Nvidia RTX 3080,15.6,1920x1080,6.1,2.18,Windows,1375.11,Mid-End
2345,Asus,Intel i7,32,SSD,512.0,Nvidia RTX 2060,14.0,1920x1080,7.0,2.91,macOS,2054.39,High-End
2346,Apple,AMD Ryzen 9,4,SSD,1024.0,AMD Radeon RX 6800,14.0,1366x768,6.5,1.68,Windows,1771.8,High-End
2347,HP,Intel i5,32,SSD,512.0,Integrated,15.6,2560x1440,10.3,1.83,Linux,1330.24,Mid-End
2348,Asus,AMD Ryzen 5,64,HDD,1024.0,Nvidia RTX 3060,13.3,3840x2160,7.1,1.44,macOS,3180.14,Luxury
2349,HP,Intel i3,16,SSD,512.0,Nvidia GTX 1650,15.6,1366x768,4.9,1.88,macOS,1046.03,Mid-End
2350,Acer,AMD Ryzen 5,4,HDD,1024.0,Nvidia GTX 1650,17.3,3840x2160,11.7,1.35,FreeDOS,1324.97,Mid-End
2351,Asus,Intel i3,8,SSD,512.0,Integrated,15.6,3840x2160,11.3,1.74,FreeDOS,945.14,Mid-End
2352,MSI,Intel i9,32,SSD,512.0,Nvidia RTX 3080,16.0,3840x2160,5.1,3.18,Windows,6260.08,Luxury
2353,Lenovo,Intel i3,32,SSD,256.0,Nvidia RTX 2060,14.0,1920x1080,4.9,2.54,Linux,1426.87,Mid-End
2354,HP,Intel i9,32,SSD,1024.0,AMD Radeon RX 6800,17.3,2560x1440,6.3,1.76,FreeDOS,3708.89,Luxury
2355,Razer,AMD Ryzen 5,64,SSD,256.0,AMD Radeon RX 6800,14.0,3840x2160,8.7,1.72,macOS,5612.45,Luxury
2356,Dell,AMD Ryzen 3,8,SSD,2048.0,Nvidia RTX 3060,16.0,1920x1080,5.6,3.36,macOS,895.07,Mid-End
2357,Samsung,Intel i3,8,HDD,1024.0,Nvidia RTX 3060,14.0,2560x1440,8.3,2.36,Linux,860.15,Mid-End
2358,Razer,AMD Ryzen 5,32,SSD,1024.0,AMD Radeon RX 6800,14.0,3840x2160,9.8,3.32,Linux,3564.07,Luxury
2359,HP,Intel i9,16,SSD,512.0,AMD Radeon RX 6800,15.6,3840x2160,10.9,1.33,macOS,3585.24,Luxury
2360,Razer,Intel i7,8,SSD,256.0,Integrated,15.6,3840x2160,11.3,1.45,Linux,2105.68,High-End
2361,Samsung,Intel i3,64,SSD,256.0,Nvidia RTX 2060,16.0,2560x1440,5.6,3.16,macOS,2746.23,High-End
2362,Dell,Intel i3,32,SSD,256.0,AMD Radeon RX 6600,14.0,2560x1440,11.7,1.84,macOS,1618.88,High-End
2363,MSI,Intel i9,32,SSD,512.0,Nvidia RTX 3060,14.0,3840x2160,4.7,2.0,macOS,5547.08,Luxury
2364,Asus,Intel i7,4,SSD,1024.0,Nvidia RTX 3080,15.6,1920x1080,6.6,1.27,FreeDOS,1263.98,Mid-End
2365,Microsoft,AMD Ryzen 9,64,SSD,512.0,Nvidia RTX 2060,17.3,1366x768,10.4,2.0,Linux,3563.86,Luxury
2366,HP,Intel i3,16,SSD,2048.0,Integrated,14.0,3840x2160,8.9,3.28,Linux,1276.79,Mid-End
2367,Asus,Intel i9,4,HDD,1024.0,AMD Radeon RX 6800,16.0,3840x2160,6.7,3.33,Windows,2169.37,High-End
2368,Samsung,Intel i9,16,SSD,2048.0,Nvidia RTX 3080,14.0,3840x2160,10.6,1.66,Windows,3356.86,Luxury
2369,Asus,AMD Ryzen 7,4,HDD,1024.0,Nvidia RTX 3080,15.6,3840x2160,4.7,1.94,Linux,1685.91,High-End
2370,Dell,Intel i9,64,SSD,512.0,Integrated,15.6,1366x768,12.0,2.29,Linux,2472.43,High-End
2371,HP,AMD Ryzen 3,8,SSD,256.0,Nvidia RTX 2060,17.3,1366x768,10.6,2.25,Windows,742.84,Low-End
2372,Microsoft,AMD Ryzen 9,32,SSD,2048.0,Nvidia RTX 3080,14.0,1920x1080,5.7,2.54,macOS,2607.14,High-End
2373,Apple,Intel i5,8,HDD,1024.0,AMD Radeon RX 6800,17.3,3840x2160,10.3,1.45,FreeDOS,2345.4,High-End
2374,Lenovo,AMD Ryzen 9,8,SSD,2048.0,Nvidia GTX 1650,16.0,3840x2160,11.3,2.28,macOS,3149.09,Luxury
2375,Dell,Intel i3,64,SSD,512.0,AMD Radeon RX 6800,17.3,1366x768,11.1,2.01,FreeDOS,1724.79,High-End
2376,Apple,Intel i7,8,SSD,256.0,AMD Radeon RX 6800,14.0,1920x1080,11.8,1.85,FreeDOS,1760.11,High-End
2377,MSI,Intel i7,4,SSD,256.0,AMD Radeon RX 6600,17.3,1366x768,4.4,1.53,macOS,1425.95,Mid-End
2378,Acer,Intel i9,8,SSD,2048.0,AMD Radeon RX 6600,13.3,1920x1080,4.4,2.11,macOS,1695.75,High-End
2379,Asus,Intel i3,32,SSD,1024.0,Nvidia RTX 2060,16.0,1920x1080,6.6,2.83,macOS,1598.47,High-End
2380,Razer,Intel i7,8,SSD,2048.0,Nvidia RTX 3080,15.6,2560x1440,4.1,1.8,macOS,2403.88,High-End
2381,HP,AMD Ryzen 5,64,HDD,1024.0,Nvidia RTX 3060,16.0,3840x2160,6.9,2.3,FreeDOS,3495.48,Luxury
2382,Apple,Intel i5,16,SSD,1024.0,AMD Radeon RX 6600,14.0,3840x2160,11.7,2.55,macOS,2857.06,High-End
2383,MSI,Intel i3,4,SSD,256.0,Integrated,15.6,1366x768,7.7,1.39,macOS,750.17,Low-End
2384,HP,AMD Ryzen 9,4,SSD,256.0,Integrated,16.0,1920x1080,11.1,2.39,Linux,1197.92,Mid-End
2385,Samsung,Intel i3,32,SSD,512.0,Nvidia RTX 3080,15.6,2560x1440,7.5,2.02,FreeDOS,1756.04,High-End
2386,MSI,Intel i9,4,SSD,2048.0,Integrated,17.3,2560x1440,4.4,2.43,Linux,1888.26,High-End
2387,Razer,Intel i5,16,SSD,512.0,Nvidia GTX 1650,15.6,2560x1440,10.5,2.75,FreeDOS,2367.48,High-End
2388,Razer,AMD Ryzen 7,4,SSD,256.0,Nvidia RTX 3060,14.0,1366x768,11.9,2.24,FreeDOS,1475.32,Mid-End
2389,HP,AMD Ryzen 5,4,SSD,256.0,AMD Radeon RX 6600,15.6,3840x2160,5.0,1.79,FreeDOS,1629.32,High-End
2390,MSI,AMD Ryzen 9,16,SSD,1024.0,Nvidia RTX 2060,14.0,2560x1440,11.1,2.55,macOS,3309.11,Luxury
2391,Microsoft,Intel i5,4,SSD,2048.0,AMD Radeon RX 6600,13.3,1920x1080,4.6,2.42,Windows,919.76,Mid-End
2392,Dell,AMD Ryzen 5,32,SSD,256.0,Integrated,13.3,3840x2160,6.9,1.68,Linux,1647.25,High-End
2393,Apple,AMD Ryzen 7,32,SSD,2048.0,Nvidia RTX 3060,17.3,1366x768,9.0,2.13,FreeDOS,2794.77,High-End
2394,Samsung,Intel i7,32,SSD,1024.0,Nvidia RTX 2060,17.3,2560x1440,7.5,1.46,FreeDOS,2812.46,High-End
2395,Microsoft,AMD Ryzen 3,8,SSD,2048.0,AMD Radeon RX 6600,15.6,1920x1080,8.2,1.25,macOS,987.56,Mid-End
2396,Samsung,AMD Ryzen 3,4,SSD,2048.0,AMD Radeon RX 6600,14.0,3840x2160,10.0,3.49,Linux,1308.78,Mid-End
2397,Razer,Intel i3,4,HDD,1024.0,Nvidia RTX 3060,17.3,3840x2160,7.4,1.29,macOS,1621.38,High-End
2398,Lenovo,Intel i9,32,SSD,512.0,AMD Radeon RX 6600,14.0,3840x2160,9.4,2.92,Linux,4474.82,Luxury
2399,Asus,AMD Ryzen 3,64,SSD,512.0,Nvidia RTX 3060,14.0,1366x768,9.7,3.21,Windows,1597.08,High-End
2400,Microsoft,Intel i7,4,SSD,2048.0,Nvidia RTX 2060,17.3,1920x1080,11.3,2.1,FreeDOS,1279.81,Mid-End
2401,Lenovo,AMD Ryzen 9,64,SSD,256.0,Nvidia RTX 3060,16.0,1366x768,9.3,2.13,FreeDOS,3644.75,Luxury
2402,Lenovo,AMD Ryzen 5,8,SSD,256.0,AMD Radeon RX 6800,15.6,1920x1080,11.0,1.72,macOS,1254.82,Mid-End
2403,Apple,Intel i7,16,SSD,2048.0,AMD Radeon RX 6600,16.0,1366x768,11.6,3.2,Linux,1972.39,High-End
2404,Dell,Intel i3,16,SSD,1024.0,Integrated,16.0,1920x1080,8.1,1.7,FreeDOS,811.11,Mid-End
2405,MSI,Intel i3,4,SSD,2048.0,AMD Radeon RX 6600,15.6,3840x2160,5.5,1.45,Linux,1769.63,High-End
2406,HP,AMD Ryzen 3,32,HDD,1024.0,AMD Radeon RX 6600,16.0,2560x1440,7.2,2.04,FreeDOS,1457.63,Mid-End
2407,Razer,AMD Ryzen 3,16,SSD,512.0,Nvidia RTX 2060,14.0,3840x2160,9.6,2.53,macOS,2423.96,High-End
2408,Acer,Intel i3,32,SSD,2048.0,Integrated,14.0,2560x1440,7.2,1.62,macOS,995.68,Mid-End
2409,Asus,Intel i7,32,SSD,2048.0,AMD Radeon RX 6600,14.0,3840x2160,9.5,1.71,FreeDOS,3186.93,Luxury
2410,Samsung,Intel i9,16,HDD,1024.0,Nvidia RTX 3080,14.0,3840x2160,8.5,3.03,Windows,2814.32,High-End
2411,Apple,AMD Ryzen 9,8,SSD,2048.0,Nvidia RTX 2060,16.0,3840x2160,6.8,2.76,macOS,4385.07,Luxury
2412,Samsung,Intel i3,64,SSD,1024.0,Nvidia RTX 3060,13.3,2560x1440,11.1,1.32,Linux,2363.76,High-End
2413,MSI,AMD Ryzen 5,4,SSD,1024.0,Nvidia RTX 3060,14.0,1920x1080,9.5,1.62,Windows,1248.24,Mid-End
2414,Samsung,AMD Ryzen 7,64,HDD,1024.0,AMD Radeon RX 6800,17.3,3840x2160,7.9,2.75,Linux,4450.74,Luxury
2415,Razer,Intel i5,4,SSD,256.0,Nvidia RTX 3080,13.3,2560x1440,8.6,2.17,macOS,1727.2,High-End
2416,Microsoft,AMD Ryzen 3,16,SSD,2048.0,Nvidia RTX 2060,15.6,1920x1080,10.1,1.82,Linux,1009.08,Mid-End
2417,Samsung,AMD Ryzen 7,64,HDD,1024.0,Nvidia RTX 3060,14.0,1366x768,4.4,2.8,macOS,1933.3,High-End
2418,Dell,AMD Ryzen 5,4,SSD,2048.0,Nvidia RTX 3060,17.3,1366x768,6.4,2.05,FreeDOS,797.36,Low-End
2419,Asus,AMD Ryzen 7,16,SSD,2048.0,AMD Radeon RX 6800,16.0,2560x1440,9.2,2.79,Windows,2184.36,High-End
2420,Lenovo,AMD Ryzen 5,32,HDD,1024.0,AMD Radeon RX 6800,17.3,1920x1080,10.3,2.33,macOS,1522.3,High-End
2421,Acer,Intel i9,16,HDD,1024.0,Integrated,17.3,1920x1080,5.5,3.27,FreeDOS,1342.97,Mid-End
2422,Asus,AMD Ryzen 7,64,SSD,512.0,Integrated,14.0,3840x2160,9.5,2.74,Linux,3197.64,Luxury
2423,Acer,Intel i9,64,SSD,256.0,Nvidia RTX 3080,17.3,2560x1440,11.7,2.69,Linux,5256.2,Luxury
2424,MSI,AMD Ryzen 5,4,SSD,256.0,Nvidia RTX 3060,17.3,2560x1440,8.3,1.33,FreeDOS,1620.5,High-End
2425,Microsoft,Intel i7,8,HDD,1024.0,Integrated,17.3,1920x1080,6.7,2.04,Windows,774.99,Low-End
2426,Dell,Intel i7,16,SSD,1024.0,Nvidia RTX 3060,17.3,2560x1440,11.4,1.28,Linux,2157.22,High-End
2427,Samsung,AMD Ryzen 5,4,SSD,512.0,Nvidia RTX 2060,17.3,1920x1080,4.9,2.49,Linux,1150.48,Mid-End
2428,Asus,Intel i5,8,SSD,512.0,AMD Radeon RX 6800,16.0,1366x768,10.2,3.16,macOS,868.81,Mid-End
2429,HP,AMD Ryzen 9,16,SSD,1024.0,Nvidia RTX 3060,14.0,3840x2160,10.0,2.77,macOS,3237.16,Luxury
2430,Microsoft,AMD Ryzen 5,4,SSD,512.0,AMD Radeon RX 6600,14.0,2560x1440,6.6,2.81,FreeDOS,1196.4,Mid-End
2431,Acer,Intel i7,16,SSD,512.0,Nvidia RTX 3080,17.3,1920x1080,11.9,2.58,macOS,1520.46,High-End
2432,Dell,Intel i7,64,HDD,1024.0,Nvidia RTX 3080,13.3,3840x2160,7.6,3.46,Linux,4248.89,Luxury
2433,Asus,AMD Ryzen 9,8,SSD,1024.0,Integrated,13.3,2560x1440,4.3,1.74,Linux,1471.0,Mid-End
2434,Dell,AMD Ryzen 7,32,SSD,1024.0,Nvidia RTX 3080,15.6,3840x2160,7.8,3.22,Windows,3533.01,Luxury
2435,Microsoft,Intel i7,8,SSD,256.0,Integrated,16.0,3840x2160,10.5,1.77,Linux,1595.61,High-End
2436,MSI,Intel i5,8,SSD,512.0,Nvidia RTX 3060,14.0,2560x1440,7.2,2.63,Windows,1542.2,High-End
2437,Lenovo,Intel i9,32,SSD,1024.0,AMD Radeon RX 6800,16.0,1366x768,6.6,3.16,Linux,2366.93,High-End
