Brand,Processor,RAM (GB),Storage Type,Storage Size,GPU,Screen Size (inch),Resolution,Battery Life (hours),Weight (kg),Operating System,Price ($),Price Category
Microsoft,AMD Ryzen 9,16,SSD,2048.0,Nvidia RTX 3060,17.3,1920x1080,10.6,2.41,Linux,2053.79,High-End
HP,AMD Ryzen 7,32,HDD,1024.0,Integrated,13.3,1920x1080,4.5,2.64,Windows,1181.58,Mid-End
Razer,AMD Ryzen 9,16,HDD,1024.0,Nvidia RTX 3080,16.0,1920x1080,11.6,1.27,FreeDOS,2558.14,High-End
Samsung,Intel i7,16,SSD,256.0,Nvidia RTX 3060,14.0,1920x1080,10.6,3.42,Linux,1617.18,High-End
Dell,AMD Ryzen 3,32,SSD,512.0,AMD Radeon RX 6800,17.3,3840x2160,6.4,1.75,Windows,2497.28,High-End
Acer,AMD Ryzen 7,16,SSD,256.0,Nvidia RTX 3080,16.0,3840x2160,4.5,1.8,FreeDOS,2779.31,High-End
Acer,Intel i9,4,SSD,1024.0,Nvidia RTX 3060,15.6,1920x1080,9.6,2.58,FreeDOS,1577.68,High-End
Microsoft,Intel i3,64,SSD,2048.0,AMD Radeon RX 6800,15.6,2560x1440,11.0,1.7,FreeDOS,2640.27,High-End
MSI,AMD Ryzen 7,16,SSD,1024.0,AMD Radeon RX 6600,16.0,3840x2160,6.1,3.25,Windows,3551.87,Luxury
MSI,AMD Ryzen 5,16,SSD,256.0,Nvidia RTX 3060,14.0,1366x768,8.2,1.54,Linux,1306.29,Mid-End
HP,Intel i9,32,SSD,256.0,Nvidia RTX 2060,17.3,3840x2160,8.3,1.43,FreeDOS,4868.52,Luxury
Acer,Intel i9,4,SSD,2048.0,Nvidia GTX 1650,13.3,2560x1440,10.3,2.68,macOS,1844.63,High-End
Microsoft,AMD Ryzen 3,16,SSD,512.0,Nvidia RTX 2060,13.3,1366x768,11.7,1.81,macOS,1000.81,Mid-End
Samsung,AMD Ryzen 3,4,SSD,256.0,Nvidia RTX 2060,15.6,2560x1440,6.8,1.95,macOS,977.15,Mid-End
Lenovo,AMD Ryzen 7,16,HDD,1024.0,AMD Radeon RX 6800,17.3,3840x2160,7.1,2.77,Windows,2363.53,High-End
Dell,Intel i5,8,SSD,256.0,AMD Radeon RX 6600,13.3,1366x768,8.9,3.12,FreeDOS,717.05,Low-End
Dell,Intel i9,64,SSD,2048.0,Integrated,14.0,3840x2160,7.6,2.07,Linux,4413.96,Luxury
Asus,Intel i7,4,SSD,256.0,Integrated,17.3,2560x1440,8.6,1.95,FreeDOS,946.53,Mid-End
Dell,AMD Ryzen 5,8,SSD,512.0,Nvidia RTX 2060,14.0,2560x1440,8.8,3.23,macOS,1303.66,Mid-End
Microsoft,Intel i5,16,HDD,1024.0,AMD Radeon RX 6600,14.0,1920x1080,6.7,2.55,FreeDOS,913.18,Mid-End
Apple,AMD Ryzen 9,4,SSD,512.0,AMD Radeon RX 6800,15.6,3840x2160,6.3,1.23,FreeDOS,4033.3,Luxury
Razer,Intel i3,8,SSD,1024.0,Nvidia RTX 2060,16.0,3840x2160,4.3,2.2,Windows,2035.65,High-End
Razer,AMD Ryzen 7,32,SSD,2048.0,AMD Radeon RX 6800,15.6,3840x2160,6.1,2.28,macOS,4898.22,Luxury
Microsoft,AMD Ryzen 5,32,SSD,256.0,Integrated,16.0,2560x1440,10.4,2.99,FreeDOS,1368.45,Mid-End
HP,AMD Ryzen 5,32,HDD,1024.0,Nvidia GTX 1650,17.3,1920x1080,11.9,1.75,macOS,1329.72,Mid-End
HP,Intel i7,8,SSD,512.0,Nvidia RTX 3080,14.0,1366x768,4.6,2.23,Linux,1006.6,Mid-End
Lenovo,AMD Ryzen 7,8,SSD,256.0,Nvidia RTX 3060,15.6,1920x1080,11.0,3.18,Linux,1474.56,Mid-End
HP,Intel i9,16,SSD,2048.0,Integrated,14.0,1920x1080,4.9,2.54,Linux,1420.3,Mid-End
Apple,AMD Ryzen 3,4,SSD,256.0,Nvidia RTX 3060,15.6,3840x2160,9.4,1.22,Windows,1950.79,High-End
Acer,AMD Ryzen 5,16,SSD,512.0,AMD Radeon RX 6600,13.3,1366x768,9.6,1.26,Linux,995.28,Mid-End
Dell,Intel i5,16,SSD,2048.0,AMD Radeon RX 6800,16.0,2560x1440,8.9,3.13,Linux,1746.7,High-End
Lenovo,Intel i5,16,HDD,1024.0,Nvidia RTX 3060,17.3,1920x1080,9.9,2.67,macOS,1112.05,Mid-End
HP,Intel i3,64,SSD,1024.0,AMD Radeon RX 6800,15.6,1920x1080,4.3,2.22,Linux,2155.04,High-End
Apple,AMD Ryzen 5,32,HDD,1024.0,AMD Radeon RX 6800,13.3,1920x1080,6.1,1.67,Linux,2108.0,High-End
Razer,AMD Ryzen 3,32,SSD,256.0,AMD Radeon RX 6800,15.6,1920x1080,7.4,3.41,Windows,2070.69,High-End
Razer,Intel i9,16,HDD,1024.0,Nvidia RTX 2060,17.3,3840x2160,7.5,2.29,macOS,4130.72,Luxury
Asus,Intel i7,16,SSD,1024.0,Nvidia GTX 1650,16.0,2560x1440,7.3,2.58,Linux,1980.88,High-End
Apple,AMD Ryzen 9,8,SSD,256.0,AMD Radeon RX 6600,14.0,1920x1080,10.2,1.31,Windows,2515.07,High-End
Microsoft,Intel i9,16,SSD,512.0,AMD Radeon RX 6600,13.3,1920x1080,7.5,1.89,macOS,1870.7,High-End
MSI,AMD Ryzen 5,64,SSD,256.0,Nvidia RTX 3080,16.0,3840x2160,6.3,2.06,macOS,5523.93,Luxury
Lenovo,AMD Ryzen 3,4,SSD,2048.0,Integrated,14.0,2560x1440,5.7,2.15,macOS,584.68,Low-End
Microsoft,Intel i3,64,SSD,512.0,Nvidia RTX 3080,17.3,2560x1440,6.1,2.62,FreeDOS,2592.53,High-End
Acer,Intel i3,32,SSD,1024.0,Nvidia RTX 2060,17.3,1920x1080,4.8,1.74,Windows,1559.25,High-End
Lenovo,AMD Ryzen 5,16,SSD,2048.0,AMD Radeon RX 6800,14.0,3840x2160,4.9,2.81,Windows,1873.9,High-End
MSI,AMD Ryzen 5,64,SSD,256.0,Nvidia GTX 1650,15.6,1920x1080,10.0,3.5,macOS,3385.88,Luxury
Lenovo,AMD Ryzen 7,32,SSD,256.0,Nvidia RTX 2060,16.0,2560x1440,10.2,2.97,Windows,2595.52,High-End
Asus,Intel i3,4,SSD,256.0,Integrated,13.3,1920x1080,7.4,1.64,macOS,555.44,Low-End
Razer,Intel i9,64,HDD,1024.0,Nvidia GTX 1650,17.3,2560x1440,8.8,1.82,FreeDOS,6241.81,Luxury
Asus,AMD Ryzen 5,4,SSD,1024.0,AMD Radeon RX 6800,15.6,1366x768,4.1,1.37,Windows,922.23,Mid-End
HP,AMD Ryzen 9,8,SSD,256.0,Nvidia RTX 2060,16.0,1920x1080,8.8,3.44,macOS,1931.18,High-End
Apple,AMD Ryzen 3,4,SSD,512.0,AMD Radeon RX 6800,15.6,2560x1440,5.7,2.29,Linux,1636.59,High-End
Asus,Intel i7,8,SSD,256.0,AMD Radeon RX 6600,14.0,1920x1080,8.3,2.1,FreeDOS,1316.83,Mid-End
MSI,Intel i9,8,SSD,2048.0,Integrated,17.3,1366x768,9.2,2.9,FreeDOS,1378.45,Mid-End
Samsung,AMD Ryzen 9,8,SSD,512.0,Nvidia GTX 1650,16.0,1920x1080,11.7,1.55,FreeDOS,1915.82,High-End
Acer,AMD Ryzen 3,16,SSD,512.0,Integrated,14.0,3840x2160,11.2,2.28,macOS,1140.36,Mid-End
Acer,AMD Ryzen 3,16,SSD,512.0,Nvidia RTX 2060,15.6,2560x1440,6.2,2.67,Windows,1501.0,High-End
HP,Intel i5,8,HDD,1024.0,Nvidia RTX 3060,15.6,2560x1440,5.4,1.96,Linux,1172.58,Mid-End
Razer,AMD Ryzen 5,32,SSD,2048.0,AMD Radeon RX 6600,14.0,1366x768,5.4,2.34,Linux,1792.52,High-End
HP,AMD Ryzen 7,4,SSD,2048.0,Nvidia RTX 2060,14.0,1366x768,4.8,1.44,Windows,892.05,Mid-End
Apple,Intel i3,16,SSD,1024.0,Nvidia GTX 1650,16.0,1920x1080,4.2,3.41,FreeDOS,1559.26,High-End
HP,Intel i3,8,SSD,256.0,AMD Radeon RX 6600,14.0,1366x768,4.5,3.17,macOS,692.88,Low-End
HP,Intel i3,8,SSD,2048.0,AMD Radeon RX 6800,15.6,1920x1080,8.2,3.1,Windows,1013.26,Mid-End
Asus,Intel i7,16,HDD,1024.0,Nvidia RTX 3060,16.0,1366x768,7.5,1.39,macOS,1231.95,Mid-End
HP,AMD Ryzen 5,8,SSD,1024.0,Integrated,16.0,2560x1440,4.8,1.53,Linux,806.43,Mid-End
Razer,AMD Ryzen 5,4,SSD,1024.0,Nvidia GTX 1650,13.3,1920x1080,5.0,1.97,Linux,1362.38,Mid-End
Microsoft,Intel i9,4,HDD,1024.0,AMD Radeon RX 6800,13.3,1920x1080,6.3,3.45,Linux,1337.09,Mid-End
Samsung,Intel i7,16,SSD,2048.0,Nvidia GTX 1650,15.6,3840x2160,6.6,1.67,Windows,2797.13,High-End
Dell,Intel i9,32,SSD,2048.0,Nvidia RTX 3080,17.3,1920x1080,4.6,2.3,FreeDOS,2999.95,High-End
Apple,Intel i5,64,SSD,256.0,Nvidia RTX 3060,16.0,3840x2160,7.4,3.45,Windows,6394.95,Luxury
Acer,AMD Ryzen 3,32,SSD,2048.0,Nvidia RTX 3060,17.3,2560x1440,8.5,1.88,Windows,1938.81,High-End
Acer,Intel i5,32,SSD,256.0,Integrated,14.0,1366x768,8.9,3.21,Linux,899.43,Mid-End
Dell,AMD Ryzen 9,32,SSD,1024.0,Nvidia RTX 3060,14.0,3840x2160,11.8,2.45,macOS,4246.86,Luxury
Razer,Intel i3,16,SSD,512.0,Nvidia RTX 2060,16.0,1920x1080,6.4,1.21,macOS,1445.92,Mid-End
HP,Intel i3,32,SSD,256.0,Integrated,13.3,3840x2160,9.3,1.63,macOS,1481.56,Mid-End
Microsoft,AMD Ryzen 5,32,SSD,512.0,AMD Radeon RX 6600,15.6,3840x2160,4.8,2.0,Windows,2818.86,High-End
HP,AMD Ryzen 9,32,SSD,256.0,Nvidia GTX 1650,13.3,2560x1440,5.5,3.2,Linux,3237.79,Luxury
Samsung,Intel i3,32,SSD,256.0,AMD Radeon RX 6600,15.6,1366x768,7.3,2.69,Windows,1225.32,Mid-End
Acer,Intel i9,32,SSD,256.0,Nvidia RTX 3080,13.3,1920x1080,7.1,1.99,macOS,2772.16,High-End
Dell,Intel i9,16,SSD,256.0,Nvidia RTX 3060,17.3,3840x2160,8.5,1.38,FreeDOS,3619.35,Luxury
Microsoft,AMD Ryzen 9,8,SSD,512.0,AMD Radeon RX 6800,13.3,1366x768,7.9,3.39,Windows,1374.94,Mid-End
Asus,AMD Ryzen 5,64,HDD,1024.0,Nvidia RTX 3080,17.3,2560x1440,9.2,2.44,Linux,2701.49,High-End
Dell,AMD Ryzen 7,64,SSD,512.0,Nvidia RTX 3060,17.3,1920x1080,11.3,1.46,Linux,3159.49,Luxury
Apple,AMD Ryzen 9,16,SSD,256.0,Nvidia RTX 3080,15.6,1920x1080,6.8,3.4,FreeDOS,3296.18,Luxury
Acer,Intel i5,64,SSD,2048.0,Nvidia RTX 3060,15.6,1366x768,8.8,1.55,macOS,2081.55,High-End
Razer,AMD Ryzen 7,8,SSD,512.0,Integrated,14.0,1366x768,5.9,2.84,FreeDOS,990.77,Mid-End
Acer,AMD Ryzen 5,64,SSD,256.0,AMD Radeon RX 6800,16.0,1366x768,7.1,2.96,FreeDOS,2132.52,High-End
Dell,AMD Ryzen 5,32,HDD,1024.0,Nvidia RTX 3060,16.0,1366x768,8.7,1.77,Windows,1113.71,Mid-End
Dell,AMD Ryzen 9,4,SSD,2048.0,Nvidia RTX 2060,15.6,3840x2160,7.5,1.93,macOS,2836.6,High-End
Lenovo,AMD Ryzen 5,16,HDD,1024.0,Nvidia RTX 2060,13.3,2560x1440,9.1,1.63,FreeDOS,1163.28,Mid-End
Razer,AMD Ryzen 9,16,SSD,512.0,AMD Radeon RX 6600,16.0,1366x768,5.6,2.14,macOS,2610.75,High-End
Razer,Intel i9,32,HDD,1024.0,Nvidia RTX 3060,13.3,3840x2160,11.6,2.07,Linux,5215.91,Luxury
Apple,Intel i3,4,HDD,1024.0,Nvidia GTX 1650,15.6,3840x2160,4.4,3.28,Linux,1580.11,High-End
Asus,Intel i5,64,SSD,256.0,Integrated,14.0,1920x1080,8.8,2.7,FreeDOS,1612.74,High-End
MSI,AMD Ryzen 5,16,SSD,2048.0,Integrated,13.3,3840x2160,11.7,1.81,macOS,1805.41,High-End
Samsung,AMD Ryzen 9,4,SSD,512.0,Integrated,15.6,3840x2160,9.5,3.28,Linux,1957.62,High-End
Microsoft,Intel i7,16,HDD,1024.0,Nvidia RTX 3060,14.0,2560x1440,4.5,2.05,macOS,1588.17,High-End
Microsoft,Intel i3,8,SSD,2048.0,AMD Radeon RX 6600,13.3,1920x1080,11.9,2.48,macOS,997.68,Mid-End
Dell,AMD Ryzen 9,32,SSD,2048.0,Nvidia GTX 1650,16.0,3840x2160,7.4,2.65,Linux,4930.72,Luxury
HP,AMD Ryzen 3,4,SSD,2048.0,Nvidia RTX 3060,15.6,2560x1440,5.8,1.21,Linux,1004.57,Mid-End
Microsoft,AMD Ryzen 9,8,HDD,1024.0,Nvidia GTX 1650,15.6,3840x2160,6.0,2.1,macOS,2644.57,High-End
Apple,AMD Ryzen 9,8,SSD,256.0,Nvidia RTX 3080,13.3,3840x2160,4.3,3.39,macOS,4017.21,Luxury
Lenovo,Intel i3,32,SSD,2048.0,Nvidia GTX 1650,17.3,1366x768,11.8,1.41,FreeDOS,1097.47,Mid-End
Acer,AMD Ryzen 9,32,SSD,1024.0,AMD Radeon RX 6800,14.0,3840x2160,10.4,2.63,Linux,4439.81,Luxury
Razer,Intel i3,16,HDD,1024.0,Integrated,17.3,3840x2160,9.2,1.21,FreeDOS,1448.09,Mid-End
Lenovo,Intel i9,32,SSD,2048.0,Nvidia RTX 2060,16.0,2560x1440,11.3,2.09,Linux,3633.19,Luxury
HP,AMD Ryzen 7,8,SSD,2048.0,Nvidia GTX 1650,16.0,2560x1440,9.2,1.9,FreeDOS,1793.88,High-End
Lenovo,AMD Ryzen 3,8,SSD,512.0,AMD Radeon RX 6600,13.3,2560x1440,4.4,2.68,Linux,1156.06,Mid-End
Razer,Intel i7,4,SSD,2048.0,Nvidia RTX 3080,13.3,3840x2160,5.3,2.51,Windows,2661.55,High-End
Lenovo,Intel i5,16,SSD,512.0,Nvidia RTX 3080,15.6,2560x1440,4.1,2.89,Linux,1572.68,High-End
MSI,Intel i5,16,HDD,1024.0,Nvidia GTX 1650,13.3,1920x1080,6.9,2.46,Linux,1255.22,Mid-End
MSI,Intel i7,32,SSD,1024.0,Nvidia GTX 1650,16.0,2560x1440,5.2,2.98,macOS,3584.12,Luxury
Razer,AMD Ryzen 3,16,SSD,256.0,AMD Radeon RX 6800,16.0,1366x768,11.0,1.85,FreeDOS,1191.73,Mid-End
Asus,Intel i7,32,SSD,512.0,Nvidia RTX 2060,13.3,1366x768,5.7,1.66,Windows,1633.74,High-End
Apple,AMD Ryzen 5,32,HDD,1024.0,AMD Radeon RX 6600,15.6,3840x2160,10.0,3.23,macOS,3528.74,Luxury
MSI,Intel i5,8,HDD,1024.0,Integrated,14.0,3840x2160,10.9,2.21,macOS,1121.47,Mid-End
Samsung,Intel i5,8,SSD,256.0,Integrated,17.3,2560x1440,11.5,1.87,Linux,863.5,Mid-End
Apple,AMD Ryzen 5,64,SSD,2048.0,Integrated,14.0,3840x2160,10.2,2.45,macOS,4060.48,Luxury
Apple,AMD Ryzen 7,64,SSD,512.0,Integrated,17.3,1366x768,11.6,2.0,Linux,2605.81,High-End
Dell,Intel i7,8,SSD,1024.0,Nvidia RTX 3060,14.0,2560x1440,9.1,2.14,Windows,1609.9,High-End
Lenovo,Intel i3,16,SSD,512.0,AMD Radeon RX 6600,15.6,3840x2160,9.2,3.03,FreeDOS,1980.16,High-End
HP,Intel i5,32,SSD,1024.0,AMD Radeon RX 6800,16.0,3840x2160,7.1,3.28,macOS,3044.62,Luxury
Microsoft,AMD Ryzen 5,4,SSD,2048.0,Nvidia RTX 3080,15.6,3840x2160,11.3,2.15,Linux,1541.16,High-End
Samsung,AMD Ryzen 5,16,SSD,256.0,Nvidia RTX 2060,13.3,3840x2160,6.5,2.69,FreeDOS,1898.27,High-End
Apple,Intel i3,64,SSD,1024.0,Nvidia RTX 3060,14.0,1920x1080,7.6,1.4,Linux,3105.8,Luxury
Razer,Intel i9,4,SSD,512.0,Integrated,17.3,1366x768,11.3,2.79,Windows,1420.51,Mid-End
Microsoft,Intel i7,16,SSD,2048.0,Integrated,15.6,2560x1440,10.7,2.41,Linux,1395.54,Mid-End
HP,Intel i5,8,HDD,1024.0,Nvidia RTX 3080,16.0,1366x768,7.1,2.93,Linux,739.85,Low-End
Dell,Intel i5,4,SSD,512.0,Nvidia RTX 3060,17.3,2560x1440,5.6,2.2,Windows,1281.4,Mid-End
HP,AMD Ryzen 7,64,SSD,512.0,Integrated,14.0,1366x768,8.9,3.15,Linux,1696.57,High-End
HP,Intel i9,32,SSD,1024.0,Nvidia RTX 3060,17.3,1366x768,7.6,3.49,macOS,2369.36,High-End
Lenovo,Intel i7,32,SSD,2048.0,Nvidia RTX 3080,14.0,1920x1080,11.5,2.2,Linux,2143.96,High-End
Asus,AMD Ryzen 9,32,SSD,2048.0,Nvidia RTX 2060,17.3,2560x1440,5.2,1.32,macOS,3664.3,Luxury
Lenovo,AMD Ryzen 5,16,HDD,1024.0,Nvidia GTX 1650,13.3,2560x1440,5.3,1.57,macOS,1400.77,Mid-End
Acer,Intel i3,64,HDD,1024.0,Nvidia RTX 2060,13.3,1920x1080,10.9,2.11,FreeDOS,1709.62,High-End
HP,Intel i3,32,SSD,256.0,Nvidia GTX 1650,13.3,3840x2160,9.8,1.69,Linux,2126.62,High-End
Lenovo,AMD Ryzen 5,32,SSD,256.0,AMD Radeon RX 6800,15.6,3840x2160,9.8,2.58,macOS,2854.48,High-End
Samsung,Intel i3,16,HDD,1024.0,AMD Radeon RX 6800,14.0,3840x2160,4.8,1.46,Linux,1263.21,Mid-End
Microsoft,Intel i3,64,SSD,2048.0,Nvidia RTX 3080,15.6,3840x2160,6.9,2.55,Windows,3536.61,Luxury
Microsoft,Intel i5,64,SSD,1024.0,Integrated,13.3,1366x768,9.0,3.1,Linux,1248.21,Mid-End
Microsoft,AMD Ryzen 3,4,SSD,1024.0,AMD Radeon RX 6800,16.0,1920x1080,8.1,2.18,Linux,755.63,Low-End
Asus,AMD Ryzen 3,16,SSD,256.0,AMD Radeon RX 6800,17.3,1920x1080,5.4,1.39,Windows,1233.26,Mid-End
Asus,AMD Ryzen 9,64,HDD,1024.0,Nvidia RTX 2060,17.3,1366x768,7.8,2.43,Windows,2976.67,High-End
Razer,AMD Ryzen 3,4,SSD,256.0,Nvidia RTX 3060,15.6,1920x1080,7.3,3.08,macOS,1077.95,Mid-End
Samsung,AMD Ryzen 7,4,HDD,1024.0,AMD Radeon RX 6800,16.0,1366x768,8.7,1.92,macOS,923.86,Mid-End
Apple,Intel i7,32,HDD,1024.0,Nvidia RTX 3060,15.6,1366x768,7.5,2.03,FreeDOS,2244.86,High-End
Asus,Intel i9,64,HDD,1024.0,Nvidia RTX 3060,14.0,1366x768,7.3,1.33,macOS,2891.4,High-End
HP,Intel i9,32,HDD,1024.0,AMD Radeon RX 6800,16.0,2560x1440,4.2,3.47,macOS,3085.95,Luxury
MSI,Intel i7,8,SSD,512.0,AMD Radeon RX 6800,16.0,3840x2160,11.5,2.24,Linux,3041.43,Luxury
HP,AMD Ryzen 9,16,SSD,512.0,Nvidia RTX 2060,15.6,3840x2160,10.3,1.62,Linux,3652.48,Luxury
Lenovo,AMD Ryzen 7,8,SSD,256.0,Nvidia GTX 1650,15.6,2560x1440,10.7,1.82,FreeDOS,1846.91,High-End
Asus,Intel i3,16,SSD,2048.0,Nvidia RTX 3080,13.3,1366x768,10.3,2.82,Linux,900.98,Mid-End
Samsung,Intel i3,16,SSD,2048.0,AMD Radeon RX 6800,17.3,2560x1440,5.2,3.5,Linux,1395.69,Mid-End
Samsung,AMD Ryzen 5,64,SSD,256.0,AMD Radeon RX 6600,13.3,2560x1440,11.0,3.03,Linux,2942.95,High-End
Samsung,AMD Ryzen 3,4,SSD,512.0,AMD Radeon RX 6600,15.6,3840x2160,4.1,1.62,Windows,1388.56,Mid-End
Acer,AMD Ryzen 5,16,SSD,512.0,Nvidia RTX 2060,16.0,1366x768,8.6,2.1,Linux,1018.65,Mid-End
Lenovo,Intel i9,4,SSD,1024.0,Nvidia RTX 2060,15.6,3840x2160,6.1,2.17,Linux,2723.44,High-End
Samsung,Intel i9,4,SSD,1024.0,AMD Radeon RX 6600,13.3,2560x1440,7.8,1.69,macOS,1757.36,High-End
Acer,Intel i9,64,HDD,1024.0,Nvidia RTX 2060,17.3,3840x2160,4.3,1.35,FreeDOS,6034.45,Luxury
MSI,Intel i5,4,SSD,2048.0,Integrated,17.3,3840x2160,9.5,2.77,FreeDOS,1428.64,Mid-End
Apple,AMD Ryzen 3,4,SSD,256.0,AMD Radeon RX 6600,16.0,1366x768,6.9,1.72,Linux,977.53,Mid-End
Asus,AMD Ryzen 7,64,SSD,2048.0,Nvidia RTX 3080,15.6,1920x1080,4.7,1.26,macOS,3133.1,Luxury
Dell,Intel i5,8,SSD,2048.0,AMD Radeon RX 6600,16.0,1366x768,11.3,1.55,Linux,813.55,Mid-End
MSI,AMD Ryzen 9,4,SSD,256.0,Nvidia RTX 3080,14.0,2560x1440,8.3,2.02,FreeDOS,2281.6,High-End
Acer,AMD Ryzen 3,16,SSD,1024.0,Nvidia GTX 1650,15.6,2560x1440,4.0,2.89,Linux,1509.72,High-End
Samsung,Intel i7,32,SSD,2048.0,Nvidia RTX 3060,15.6,3840x2160,5.2,3.1,macOS,3681.12,Luxury
Dell,Intel i3,8,SSD,2048.0,Integrated,14.0,2560x1440,10.5,2.85,Windows,672.99,Low-End
Asus,Intel i7,16,SSD,1024.0,Nvidia RTX 2060,13.3,2560x1440,11.1,1.51,FreeDOS,1887.97,High-End
Microsoft,Intel i9,64,SSD,2048.0,Nvidia RTX 3080,17.3,2560x1440,6.5,2.52,Windows,5246.46,Luxury
Acer,Intel i7,32,SSD,1024.0,Nvidia RTX 3080,15.6,3840x2160,11.2,1.84,FreeDOS,3719.02,Luxury
Razer,AMD Ryzen 5,32,SSD,256.0,Nvidia RTX 2060,17.3,1920x1080,6.5,1.93,macOS,2372.2,High-End
Razer,AMD Ryzen 3,32,HDD,1024.0,AMD Radeon RX 6800,16.0,2560x1440,7.6,2.51,macOS,2177.01,High-End
Acer,Intel i3,4,SSD,2048.0,Nvidia GTX 1650,16.0,1920x1080,10.2,3.24,Linux,895.55,Mid-End
MSI,AMD Ryzen 7,4,SSD,256.0,Nvidia RTX 2060,13.3,1920x1080,11.5,2.75,Linux,1372.2,Mid-End
MSI,AMD Ryzen 5,4,SSD,2048.0,AMD Radeon RX 6800,16.0,3840x2160,11.2,2.31,FreeDOS,1999.32,High-End
MSI,Intel i3,4,SSD,256.0,Integrated,16.0,3840x2160,6.3,3.12,macOS,1340.73,Mid-End
Lenovo,Intel i3,16,SSD,2048.0,Nvidia RTX 2060,17.3,1366x768,7.5,2.27,Linux,828.49,Mid-End
Lenovo,AMD Ryzen 5,64,SSD,256.0,AMD Radeon RX 6600,15.6,1920x1080,9.5,1.77,Windows,2675.84,High-End
Samsung,AMD Ryzen 9,32,SSD,512.0,AMD Radeon RX 6600,17.3,1366x768,9.8,2.85,macOS,2451.69,High-End
Apple,Intel i5,32,SSD,256.0,Nvidia RTX 3060,17.3,1920x1080,10.5,2.48,Linux,2537.53,High-End
Apple,AMD Ryzen 9,64,HDD,1024.0,AMD Radeon RX 6800,16.0,2560x1440,9.2,2.34,FreeDOS,6748.72,Luxury
Apple,Intel i7,32,SSD,2048.0,Nvidia RTX 2060,13.3,2560x1440,11.8,2.88,Windows,3635.91,Luxury
Lenovo,AMD Ryzen 3,4,SSD,2048.0,Nvidia RTX 3060,13.3,2560x1440,7.3,2.44,macOS,833.98,Mid-End
Asus,AMD Ryzen 3,32,SSD,256.0,Nvidia RTX 2060,13.3,3840x2160,5.4,2.11,FreeDOS,2070.49,High-End
Dell,Intel i3,4,SSD,1024.0,Nvidia RTX 3080,14.0,1366x768,6.8,1.43,Windows,788.32,Low-End
Razer,AMD Ryzen 9,64,SSD,512.0,Nvidia RTX 2060,13.3,3840x2160,10.4,1.36,Windows,9037.45,Luxury
HP,AMD Ryzen 9,16,SSD,1024.0,Integrated,13.3,3840x2160,5.5,2.24,FreeDOS,2354.07,High-End
Apple,Intel i3,16,SSD,2048.0,AMD Radeon RX 6800,16.0,2560x1440,4.9,1.21,macOS,1969.36,High-End
HP,Intel i7,64,SSD,2048.0,Nvidia RTX 3060,15.6,3840x2160,9.4,2.39,FreeDOS,5545.06,Luxury
MSI,Intel i9,8,SSD,512.0,AMD Radeon RX 6600,13.3,1366x768,5.2,2.6,FreeDOS,1754.6,High-End
Apple,Intel i3,32,SSD,1024.0,AMD Radeon RX 6800,16.0,1920x1080,11.6,2.67,Windows,2186.07,High-End
MSI,Intel i9,16,SSD,256.0,AMD Radeon RX 6600,15.6,1366x768,7.3,3.08,macOS,2513.17,High-End
Samsung,AMD Ryzen 9,16,HDD,1024.0,Nvidia RTX 2060,17.3,2560x1440,10.2,2.63,Linux,2382.27,High-End
Acer,Intel i3,4,SSD,512.0,Nvidia RTX 3060,16.0,1920x1080,8.5,1.2,macOS,916.86,Mid-End
Asus,Intel i5,64,HDD,1024.0,AMD Radeon RX 6800,13.3,1920x1080,8.6,1.36,Windows,1997.81,High-End
Apple,AMD Ryzen 3,8,SSD,256.0,AMD Radeon RX 6600,13.3,2560x1440,11.0,1.36,FreeDOS,1630.34,High-End
Acer,Intel i7,64,HDD,1024.0,Nvidia RTX 2060,17.3,1920x1080,9.8,3.35,Windows,2738.45,High-End
Lenovo,AMD Ryzen 3,16,HDD,1024.0,Integrated,16.0,2560x1440,6.8,1.37,macOS,861.92,Mid-End
Apple,AMD Ryzen 7,4,SSD,2048.0,Nvidia RTX 3060,16.0,1366x768,8.2,2.33,Windows,1499.26,Mid-End
Asus,Intel i7,64,HDD,1024.0,Nvidia RTX 3080,13.3,1920x1080,10.9,1.97,Windows,2431.03,High-End
Dell,AMD Ryzen 9,16,HDD,1024.0,AMD Radeon RX 6600,13.3,2560x1440,7.0,1.22,Linux,1985.16,High-End
Dell,AMD Ryzen 3,32,HDD,1024.0,Integrated,14.0,2560x1440,4.6,1.54,Linux,937.43,Mid-End
Dell,Intel i7,64,SSD,256.0,Nvidia RTX 3060,13.3,2560x1440,4.6,3.12,Windows,3824.08,Luxury
Dell,Intel i9,32,SSD,512.0,Nvidia GTX 1650,14.0,1366x768,10.5,3.16,Linux,2299.29,High-End
MSI,AMD Ryzen 3,16,SSD,2048.0,AMD Radeon RX 6600,14.0,3840x2160,5.6,2.62,FreeDOS,2126.48,High-End
HP,AMD Ryzen 7,64,SSD,256.0,Nvidia RTX 3060,14.0,2560x1440,6.7,1.79,macOS,3713.82,Luxury
Lenovo,Intel i7,4,SSD,1024.0,Integrated,15.6,1920x1080,8.7,2.78,Windows,981.19,Mid-End
Asus,Intel i7,8,SSD,2048.0,AMD Radeon RX 6600,17.3,3840x2160,5.7,2.9,Linux,2311.11,High-End
Lenovo,Intel i3,32,SSD,512.0,AMD Radeon RX 6600,17.3,1920x1080,5.5,1.76,Linux,1559.65,High-End
